town,roomType,rent
ANG MO KIO,3-RM,1700
ANG MO KIO,4-RM,2100
ANG MO KIO,5-RM,2230
BEDOK,3-RM,1700
BEDOK,4-RM,2000
BEDOK,5-RM,2200
BEDOK,EXEC,2500
BISHAN,3-RM,1800
BISHAN,4-RM,2300
BISHAN,5-RM,2500
BUKIT BATOK,3-RM,1600
BUKIT BATOK,4-RM,1900
BUKIT BATOK,5-RM,2100
BUKIT BATOK,EXEC,2100
BUKIT MERAH,2-RM,1600
BUKIT MERAH,3-RM,1900
BUKIT MERAH,4-RM,2500
BUKIT MERAH,5-RM,2700
BUKIT PANJANG,3-RM,1500
BUKIT PANJANG,4-RM,1700
BUKIT PANJANG,5-RM,1800
BUKIT PANJANG,EXEC,2000
BUKIT TIMAH,3-RM,1550
BUKIT TIMAH,4-RM,1780
BUKIT TIMAH,5-RM,1890
BUKIT TIMAH,EXEC,2100
CENTRAL,1-RM,1600
CENTRAL,2-RM,1800
CENTRAL,3-RM,2100
CENTRAL,4-RM,2600
CENTRAL,5-RM,3000
CENTRAL,EXEC,3200
CHOA CHU KANG,1-RM,1380
CHOA CHU KANG,2-RM,1500
CHOA CHU KANG,3-RM,1650
CHOA CHU KANG,4-RM,1700
CHOA CHU KANG,5-RM,1800
CHOA CHU KANG,EXEC,2000
CLEMENTI,1-RM,1650
CLEMENTI,2-RM,1700
CLEMENTI,3-RM,1800
CLEMENTI,4-RM,2300
CLEMENTI,5-RM,2500
CLEMENTI,EXEC,2750
GEYLANG,1-RM,1500
GEYLANG,2-RM,1650
GEYLANG,3-RM,1750
GEYLANG,4-RM,2300
GEYLANG,5-RM,2500
GEYLANG,EXEC,2800
HOUGANG,1-RM,1380
HOUGANG,2-RM,1500
HOUGANG,3-RM,1600
HOUGANG,4-RM,1900
HOUGANG,5-RM,2030
HOUGANG,EXEC,2200
JURONG EAST,1-RM,1380
JURONG EAST,2-RM,1500
JURONG EAST,3-RM,1680
JURONG EAST,4-RM,2000
JURONG EAST,5-RM,2250
JURONG EAST,EXEC,2500
JURONG WEST,1-RM,1380
JURONG WEST,2-RM,1500
JURONG WEST,3-RM,1600
JURONG WEST,4-RM,2000
JURONG WEST,5-RM,2200
JURONG WEST,EXEC,2200
KALLANG/WHAMPOA,1-RM,1580
KALLANG/WHAMPOA,2-RM,1700
KALLANG/WHAMPOA,3-RM,1900
KALLANG/WHAMPOA,4-RM,2400
KALLANG/WHAMPOA,5-RM,2500
KALLANG/WHAMPOA,EXEC,2700
MARINE PARADE,1-RM,1680
MARINE PARADE,2-RM,1700
MARINE PARADE,3-RM,1800
MARINE PARADE,4-RM,2100
PASIR RIS,4-RM,1950
PASIR RIS,5-RM,2000
PASIR RIS,EXEC,2200
PUNGGOL,4-RM,1800
PUNGGOL,5-RM,1900
PUNGGOL,EXEC,2000
QUEENSTOWN,2-RM,1380
QUEENSTOWN,3-RM,1900
QUEENSTOWN,4-RM,2500
QUEENSTOWN,5-RM,2800
SEMBAWANG,4-RM,1750
SEMBAWANG,5-RM,1900
SEMBAWANG,EXEC,2000
SENGKANG,4-RM,1800
SENGKANG,5-RM,1900
SENGKANG,EXEC,2000
SERANGOON,3-RM,1800
SERANGOON,4-RM,2140
SERANGOON,5-RM,2200
SERANGOON,EXEC,2350
TAMPINES,3-RM,1700
TAMPINES,4-RM,2000
TAMPINES,5-RM,2200
TAMPINES,EXEC,2400
TOA PAYOH,3-RM,1800
TOA PAYOH,4-RM,2300
TOA PAYOH,5-RM,2500
WOODLANDS,3-RM,1400
WOODLANDS,4-RM,1700
WOODLANDS,5-RM,1800
WOODLANDS,EXEC,2050
YISHUN,3-RM,1550
YISHUN,4-RM,1800
YISHUN,5-RM,2000
YISHUN,EXEC,2010